'2019-05-16 14:33:05.149426', ' ', ' ', ' ', ' ', '0',('127.0.0.1', 56230)
'2019-05-16 14:33:10.249718', ' ', ' ', ' ', ' ', '0',('127.0.0.1', 56230)
'2019-05-16 23:37:30.329777', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2273)
'2019-05-16 23:37:35.431085', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2273)
'2019-05-16 23:38:43.774080', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2277)
'2019-05-16 23:38:48.876206', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2277)
'2019-05-16 23:39:26.990232', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2283)
'2019-05-16 23:39:32.091616', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2283)
'2019-05-16 23:41:27.672692', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2291)
'2019-05-16 23:41:32.774721', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2291)
'2019-05-16 23:41:37.876034', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2291)
'2019-05-16 23:41:42.977467', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2291)
'2019-05-16 23:41:48.079198', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2291)
'2019-05-16 23:41:53.180908', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2291)
'2019-05-16 23:41:58.282505', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2291)
'2019-05-16 23:42:22.397747', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2296)
'2019-05-16 23:42:27.499525', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2296)
'2019-05-16 23:42:32.601580', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2296)
'2019-05-16 23:42:37.702929', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2296)
'2019-05-16 23:42:42.804498', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2296)
'2019-05-16 23:42:47.905706', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2296)
'2019-05-16 23:42:53.006850', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2296)
'2019-05-16 23:52:24.277525', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2326)
'2019-05-16 23:52:29.378811', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2326)
'2019-05-16 23:52:34.480002', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2326)
'2019-05-16 23:52:39.582015', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2326)
'2019-05-16 23:59:54.405322', ' ', ' ', ' ', ' ', '10',('127.0.0.1': 2361)
'2019-05-17 01:11:12.023069', '-1', '-1', '-1', '-1', '10',('127.0.0.1': 2841)
'2019-05-17 01:11:17.125171', '-1', '-1', '-1', '-1', '10',('127.0.0.1': 2841)
'2019-05-17 01:11:22.227257', '-1', '-1', '-1', '-1', '10',('127.0.0.1': 2841)
'2019-05-17 01:11:27.328352', '-1', '-1', '-1', '-1', '10',('127.0.0.1': 2841)
'2019-05-17 01:12:05.938324', '-1', '-1', '-1', '-1', '10',('127.0.0.1': 2847)
'2019-05-17 01:12:11.040413', '-1', '-1', '-1', '-1', '10',('127.0.0.1': 2847)
'2019-05-17 01:12:16.142488', '-1', '-1', '-1', '-1', '10',('127.0.0.1': 2847)
'2019-05-17 01:12:21.244589', '-1', '-1', '-1', '-1', '10',('127.0.0.1': 2847)
'2019-05-17 01:12:55.375117', '-1', '-1', '-1', '-1', '10',('127.0.0.1': 2852)
'2019-05-17 01:13:00.477208', '-1', '-1', '-1', '-1', '10',('127.0.0.1': 2852)
'2019-05-17 01:13:38.110732', '-1', '-1', '-1', '-1', '10',('127.0.0.1': 2856)
'2019-05-17 01:13:43.212823', '-1', '-1', '-1', '-1', '10',('127.0.0.1': 2856)
'2019-05-17 01:23:46.506078', '-1', '-1', '-1', '-1', '10',('127.0.0.1': 2900)
'2019-05-17 01:23:51.607814', '-1', '-1', '-1', '-1', '10',('127.0.0.1': 2900)
'2019-05-17 01:23:56.709704', '-1', '-1', '-1', '-1', '10',('127.0.0.1': 2900)
'2019-05-17 01:26:11.967158', '-1', '-1', '-1', '-1', '10',('127.0.0.1'_ 2908)
'2019-05-17 01:26:17.069123', '-1', '-1', '-1', '-1', '10',('127.0.0.1'_ 2908)
'2019-05-17 01:26:47.028059', '-1', '-1', '-1', '-1', '10',('127.0.0.1'_ 2912)
'2019-05-17 01:26:52.130081', '-1', '-1', '-1', '-1', '10',('127.0.0.1'_ 2912)
'2019-05-17 01:26:57.232281', '-1', '-1', '-1', '-1', '10',('127.0.0.1'_ 2912)
'2019-05-17 01:27:02.333907', '-1', '-1', '-1', '-1', '10',('127.0.0.1'_ 2912)
'2019-05-17 01:27:07.435174', '-1', '-1', '-1', '-1', '10',('127.0.0.1'_ 2912)
'2019-05-17 01:29:40.024110', '-1', '-1', '-1', '-1', '10',('127.0.0.1'_ 2941)
'2019-05-17 01:29:45.125443', '-1', '-1', '-1', '-1', '10',('127.0.0.1'_ 2941)
'2019-05-17 01:30:09.213119', '-1', '-1', '-1', '-1', '10',('127.0.0.1'_ 2945)
'2019-05-17 01:30:14.314711', '-1', '-1', '-1', '-1', '10',('127.0.0.1'_ 2945)
'2019-05-17 01:30:19.416394', '-1', '-1', '-1', '-1', '10',('127.0.0.1'_ 2945)
'2019-05-17 01:30:24.517610', '-1', '-1', '-1', '-1', '10',('127.0.0.1'_ 2945)
'2019-05-17 01:32:32.982895', '-1', '-1', '-1', '-1', '10',('127.0.0.1'_ 2951)
'2019-05-17 01:32:38.084661', '-1', '-1', '-1', '-1', '10',('127.0.0.1'_ 2951)
'2019-05-17 01:32:43.185880', '-1', '-1', '-1', '-1', '10',('127.0.0.1'_ 2951)
'2019-05-17 01:32:48.287505', '-1', '-1', '-1', '-1', '10',('127.0.0.1'_ 2951)
'2019-05-17 01:32:53.388880', '-1', '-1', '-1', '-1', '10',('127.0.0.1'_ 2951)
'2019-05-17 01:32:58.489515', '-1', '-1', '-1', '-1', '10',('127.0.0.1'_ 2951)
'2019-05-17 01:34:08.651858', '2', '2', '2', '2', '10',('127.0.0.1'_ 2957)
'2019-05-17 01:34:13.753054', '3', '3', '3', '3', '10',('127.0.0.1'_ 2957)
'2019-05-17 01:34:18.854126', '4', '4', '4', '4', '10',('127.0.0.1'_ 2957)
'2019-05-17 01:34:23.955604', '5', '5', '5', '5', '10',('127.0.0.1'_ 2957)
'2019-05-17 01:34:29.057831', '6', '6', '6', '6', '10',('127.0.0.1'_ 2957)
'2019-05-17 01:34:34.158977', '7', '7', '7', '7', '10',('127.0.0.1'_ 2957)
'2019-05-17 01:34:39.260638', '8', '8', '8', '8', '10',('127.0.0.1'_ 2957)
'2019-05-17 01:34:44.362627', '9', '9', '9', '9', '10',('127.0.0.1'_ 2957)
'2019-05-17 01:34:49.464649', '10', '10', '10', '10', '10',('127.0.0.1'_ 2957)
'2019-05-17 01:34:54.566188', '11', '11', '11', '11', '10',('127.0.0.1'_ 2957)
'2019-05-17 01:34:59.667632', '12', '12', '12', '12', '10',('127.0.0.1'_ 2957)
'2019-05-17 01:35:04.768824', '13', '13', '13', '13', '10',('127.0.0.1'_ 2957)
'2019-05-17 01:35:09.870484', '14', '14', '14', '14', '10',('127.0.0.1'_ 2957)
'2019-05-17 01:35:14.972335', '15', '15', '15', '15', '10',('127.0.0.1'_ 2957)
'2019-05-17 01:35:20.074050', '16', '16', '16', '16', '10',('127.0.0.1'_ 2957)
'2019-05-17 01:35:25.175216', '17', '17', '17', '17', '10',('127.0.0.1'_ 2957)
'2019-05-17 01:35:30.277234', '18', '18', '18', '18', '10',('127.0.0.1'_ 2957)
'2019-05-17 01:35:35.378964', '19', '19', '19', '19', '10',('127.0.0.1'_ 2957)
'2019-05-17 01:35:40.480202', '20', '20', '20', '20', '10',('127.0.0.1'_ 2957)
'2019-05-17 01:35:45.582084', '21', '21', '21', '21', '10',('127.0.0.1'_ 2957)
'2019-05-17 01:35:50.684092', '22', '22', '22', '22', '10',('127.0.0.1'_ 2957)
'2019-05-17 01:35:55.785819', '23', '23', '23', '23', '10',('127.0.0.1'_ 2957)
'2019-05-17 01:36:00.887219', '24', '24', '24', '24', '10',('127.0.0.1'_ 2957)
'2019-05-17 01:36:05.988774', '25', '25', '25', '25', '10',('127.0.0.1'_ 2957)
'2019-05-17 01:36:11.090904', '26', '26', '26', '26', '10',('127.0.0.1'_ 2957)
'2019-05-17 14:23:10.707300', '2', '2', '2', '2', '50',('127.0.0.1'_ 65291)
'2019-05-17 14:23:15.811701', '3', '3', '3', '3', '30',('127.0.0.1'_ 65291)
'2019-05-17 14:23:20.916709', '4', '4', '4', '4', '30',('127.0.0.1'_ 65291)
'2019-05-17 14:23:26.021762', '5', '5', '5', '5', '30',('127.0.0.1'_ 65291)
'2019-05-17 14:23:31.131832', '6', '6', '6', '6', '30',('127.0.0.1'_ 65291)
'2019-05-17 14:23:36.237627', '7', '7', '7', '7', '30',('127.0.0.1'_ 65291)
'2019-05-17 14:23:41.341702', '8', '8', '8', '8', '30',('127.0.0.1'_ 65291)
'2019-05-17 14:41:53.005150', '2', '2', '2', '2', '30',127.0.0.1
'2019-05-17 14:41:58.109609', '3', '3', '3', '3', '30',127.0.0.1
'2019-05-17 14:42:03.213816', '4', '4', '4', '4', '30',127.0.0.1
'2019-05-17 14:42:08.318600', '5', '5', '5', '5', '30',127.0.0.1
'2019-05-22 00:42:03.543520', '31', '28', '49', '31', '0',127.0.0.1
'2019-05-22 00:42:08.645611', '18', '5', '15', '16', '0',127.0.0.1
'2019-05-22 00:42:13.747704', '6', '15', '22', '31', '0',127.0.0.1
'2019-05-22 00:42:18.849797', '23', '2', '7', '19', '0',127.0.0.1
'2019-05-22 00:42:23.951890', '21', '30', '7', '23', '0',127.0.0.1
'2019-05-22 00:42:29.053980', '7', '29', '49', '27', '0',127.0.0.1
'2019-05-22 00:42:34.156065', '30', '36', '11', '28', '0',127.0.0.1
'2019-05-22 00:42:39.258171', '13', '25', '10', '44', '0',127.0.0.1
'2019-05-22 00:42:44.360264', '13', '22', '15', '34', '0',127.0.0.1
'2019-05-22 00:42:49.462358', '13', '9', '14', '2', '0',127.0.0.1
'2019-05-22 00:42:54.564451', '43', '35', '10', '47', '0',127.0.0.1
'2019-05-22 00:42:59.666540', '30', '48', '13', '31', '0',127.0.0.1
'2019-05-22 00:43:04.768637', '20', '24', '26', '9', '0',127.0.0.1
'2019-05-22 00:43:09.870731', '32', '32', '22', '29', '0',127.0.0.1
'2019-05-22 00:43:14.972825', '17', '18', '6', '11', '0',127.0.0.1
'2019-05-22 00:43:52.314551', '14', '33', '19', '11', '0',127.0.0.1
'2019-05-22 00:43:57.416636', '33', '37', '24', '38', '0',127.0.0.1
'2019-05-22 00:44:02.518739', '16', '42', '3', '11', '0',127.0.0.1
'2019-05-22 00:44:07.620934', '6', '24', '33', '33', '0',127.0.0.1
'2019-05-22 00:44:36.793307', '26', '34', '2', '11', '0',127.0.0.1
'2019-05-22 00:44:41.895408', '20', '14', '2', '47', '0',127.0.0.1
'2019-05-22 00:44:46.997506', '13', '18', '14', '30', '0',127.0.0.1
'2019-05-22 00:44:52.099595', '30', '41', '7', '49', '0',127.0.0.1
'2019-05-22 00:44:57.201695', '31', '46', '19', '26', '0',127.0.0.1
'2019-05-22 00:45:02.303787', '25', '25', '47', '7', '0',127.0.0.1
'2019-05-22 00:45:07.405880', '7', '40', '39', '32', '0',127.0.0.1
'2019-05-22 00:45:12.507975', '42', '3', '13', '26', '0',127.0.0.1
'2019-05-22 00:45:17.610068', '37', '47', '1', '33', '0',127.0.0.1
'2019-05-22 00:45:22.712158', '27', '30', '26', '18', '0',127.0.0.1
'2019-05-22 00:45:27.814256', '35', '30', '29', '43', '0',127.0.0.1
'2019-05-22 00:45:32.916346', '31', '15', '8', '31', '0',127.0.0.1
'2019-05-22 00:45:38.018443', '26', '25', '15', '49', '0',127.0.0.1
'2019-05-22 00:46:25.899156', '23', '46', '18', '25', '0',127.0.0.1
'2019-05-22 00:46:31.001256', '49', '36', '49', '3', '0',127.0.0.1
'2019-05-22 00:46:36.103350', '39', '39', '5', '34', '0',127.0.0.1
'2019-05-22 00:46:41.205443', '24', '40', '33', '46', '0',127.0.0.1
'2019-05-22 00:46:46.307531', '35', '14', '13', '6', '0',127.0.0.1
'2019-05-22 00:46:51.409629', '33', '48', '43', '22', '0',127.0.0.1
'2019-05-22 00:46:56.511722', '29', '49', '17', '36', '0',127.0.0.1
'2019-05-22 00:47:01.613818', '10', '12', '7', '27', '0',127.0.0.1
'2019-05-22 00:47:06.715904', '9', '16', '3', '37', '0',127.0.0.1
'2019-05-22 00:47:11.818005', '13', '36', '14', '20', '0',127.0.0.1
'2019-05-22 00:47:16.920095', '42', '19', '39', '18', '0',127.0.0.1
'2019-05-22 00:48:42.028705', '29', '13', '9', '22', '0server',127.0.0.1
'2019-05-22 00:48:47.131784', '25', '6', '10', '13', '0',127.0.0.1
'2019-05-22 00:48:52.233892', '31', '28', '29', '31', '0',127.0.0.1
'2019-05-22 00:48:57.335988', '17', '15', '22', '30', '0',127.0.0.1
'2019-05-22 00:49:02.438079', '27', '12', '43', '21', '0',127.0.0.1
'2019-05-22 00:49:07.540174', '23', '41', '12', '43', '0',127.0.0.1
'2019-05-22 00:49:12.642265', '29', '38', '11', '6', '0',127.0.0.1
'2019-05-22 00:49:33.746226', '45', '10', '11', '40', '0',127.0.0.1
'2019-05-22 00:49:38.848029', '49', '2', '7', '13', '0',127.0.0.1
'2019-05-22 00:49:43.950130', '42', '21', '5', '3', '0',127.0.0.1
'2019-05-22 00:49:49.052222', '49', '44', '46', '23', '0',127.0.0.1
'2019-05-22 00:49:54.154315', '29', '9', '6', '11', '0',127.0.0.1
'2019-05-22 00:49:59.256415', '39', '13', '45', '44', '0',127.0.0.1
'2019-05-22 00:50:04.358502', '34', '24', '26', '40', '0',127.0.0.1
'2019-05-22 00:50:37.853481', '30', '20', '20', '27', '0',127.0.0.1
'2019-05-22 00:50:42.955578', '6', '45', '23', '20', '0',127.0.0.1
'2019-05-22 00:50:48.057669', '13', '45', '20', '1', '0',127.0.0.1
'2019-05-22 00:51:01.371080', '15', '34', '44', '38', '0',127.0.0.1
'2019-05-22 00:51:06.473178', '13', '21', '41', '46', '0',127.0.0.1
'2019-05-22 00:54:34.153526', '17', '45', '17', '41', '0',127.0.0.1
'2019-05-22 00:54:39.255421', '21', '41', '46', '27', '0',127.0.0.1
'2019-05-22 00:56:37.790881', '2', '14', '33', '19', '0',127.0.0.1
'2019-05-22 00:56:42.892541', '6', '17', '27', '47', '0',127.0.0.1
'2019-05-22 00:56:47.994531', '16', '17', '33', '21', '0',127.0.0.1
'2019-05-22 00:56:53.096467', '39', '2', '14', '40', '0',127.0.0.1
'2019-05-22 00:58:59.473271', '43', '5', '39', '39', '0server',127.0.0.1
'2019-05-22 00:59:04.575000', '45', '39', '42', '12', '0',127.0.0.1
'2019-05-22 00:59:09.676822', '6', '30', '27', '47', '0',127.0.0.1
'2019-05-22 00:59:14.778878', '3', '45', '42', '11', '0',127.0.0.1
'2019-05-22 00:59:19.880836', '17', '43', '48', '1', '0',127.0.0.1
'2019-05-23 00:34:12.541172', '9', '10', '45', '37', '20',127.0.0.1
'2019-05-23 00:34:17.644263', '33', '3', '25', '9', '20',127.0.0.1
'2019-05-23 00:36:38.160197', '22', '2', '8', '27', '20server',127.0.0.1
'2019-05-23 00:36:43.262305', '11', '36', '19', '46', '20server',127.0.0.1
'2019-05-23 00:36:48.364398', '13', '9', '26', '12', '20server',127.0.0.1
'2019-05-23 00:36:53.466481', '23', '15', '8', '49', '20server',127.0.0.1
'2019-05-23 00:36:58.568588', '38', '23', '15', '26', '20server',127.0.0.1
'2019-05-23 00:39:30.960753', '2', '2', '41', '4', '20',127.0.0.1
'2019-05-23 00:39:36.062847', '29', '35', '38', '19', '20',127.0.0.1
'2019-05-23 00:43:44.684867', '43', '11', '47', '35', '20',127.0.0.1
'2019-05-23 00:43:49.786958', '17', '36', '3', '48', '20',127.0.0.1
'2019-05-23 00:43:54.889053', '9', '17', '32', '46', '20',127.0.0.1
'2019-05-23 00:45:00.044919', '46', '12', '14', '17', '20',127.0.0.1
'2019-05-23 00:45:05.147021', '46', '49', '3', '8', '20',127.0.0.1
'2019-05-23 00:45:10.249106', '18', '40', '26', '30', '20',127.0.0.1
'2019-05-23 00:45:15.351199', '47', '21', '45', '32', '20',127.0.0.1
'2019-05-23 00:47:31.101862', '21', '1', '18', '34', '20',127.0.0.1
'2019-05-23 00:47:36.203759', '39', '40', '10', '12', '20',127.0.0.1
'2019-05-23 00:47:41.305850', '2', '10', '18', '16', '20',127.0.0.1
'2019-05-23 00:51:57.907731', '32', '37', '16', '25', '20server',127.0.0.1
'2019-05-23 00:52:03.009824', '9', '10', '11', '42', '20',127.0.0.1
'2019-05-23 00:52:08.111918', '44', '17', '4', '7', '20',127.0.0.1
'2019-05-23 00:52:13.214010', '37', '48', '35', '33', '20',127.0.0.1
'2019-05-23 00:52:36.844534', '24', '6', '25', '6', '20',127.0.0.1
'2019-05-23 00:52:41.946638', '11', '19', '2', '29', '20',127.0.0.1
'2019-05-23 00:52:47.048735', '27', '49', '3', '34', '20',127.0.0.1
'2019-05-23 00:52:52.150831', '30', '16', '12', '21', '20',127.0.0.1
'2019-05-23 00:52:57.252922', '33', '22', '8', '48', '20',127.0.0.1
'2019-05-23 00:55:02.756415', '24', '16', '27', '22', '20',127.0.0.1
'2019-05-23 00:55:08.758005', '3', '27', '25', '15', '20',127.0.0.1
'2019-05-23 00:55:14.759585', '28', '45', '13', '18', '20',127.0.0.1
'2019-05-23 00:55:20.761167', '16', '26', '47', '27', '20',127.0.0.1
'2019-05-23 00:55:26.762747', '3', '4', '12', '42', '20',127.0.0.1
'2019-05-23 00:55:32.764328', '35', '26', '19', '42', '20',127.0.0.1
'2019-05-23 00:55:38.765909', '3', '16', '16', '12', '20',127.0.0.1
'2019-05-23 00:55:53.934268', '46', '15', '33', '39', '20',127.0.0.1
'2019-05-23 00:55:54.934699', '28', '25', '20', '20', '20',127.0.0.1
'2019-05-23 00:55:55.935114', '16', '15', '35', '10', '20',127.0.0.1
'2019-05-23 00:55:56.935557', '7', '21', '6', '20', '20',127.0.0.1
'2019-05-23 00:55:57.935983', '25', '46', '25', '49', '20',127.0.0.1
'2019-05-23 00:55:58.936420', '33', '24', '29', '44', '20',127.0.0.1
'2019-05-23 00:55:59.936846', '15', '41', '37', '18', '20',127.0.0.1
'2019-05-23 00:56:00.937278', '46', '17', '47', '49', '20',127.0.0.1
'2019-05-23 00:56:01.938707', '9', '43', '43', '9', '20',127.0.0.1
'2019-05-23 00:56:02.939138', '39', '2', '46', '8', '20',127.0.0.1
'2019-05-23 00:56:03.939567', '27', '46', '36', '10', '20',127.0.0.1
'2019-05-23 00:56:04.940998', '26', '41', '15', '5', '20',127.0.0.1
'2019-05-23 00:56:05.942426', '18', '2', '38', '29', '20',127.0.0.1
'2019-05-23 00:56:06.942856', '18', '41', '40', '36', '20',127.0.0.1
'2019-05-23 00:56:07.944288', '45', '36', '29', '36', '20',127.0.0.1
'2019-05-23 00:56:08.945716', '38', '43', '41', '18', '20',127.0.0.1
'2019-05-23 00:56:09.946145', '20', '12', '41', '2', '20',127.0.0.1
'2019-05-23 00:56:10.946576', '3', '49', '1', '38', '20',127.0.0.1
'2019-05-23 00:56:11.947006', '46', '28', '42', '39', '20',127.0.0.1
'2019-05-23 00:56:12.948434', '28', '45', '14', '48', '20',127.0.0.1
'2019-05-23 00:56:13.948866', '49', '11', '38', '37', '20',127.0.0.1
'2019-05-23 00:56:14.949296', '16', '17', '2', '11', '20',127.0.0.1
'2019-05-23 00:56:15.949729', '34', '3', '22', '49', '20',127.0.0.1
'2019-05-23 00:56:16.950157', '34', '39', '24', '24', '20',127.0.0.1
'2019-05-23 00:56:17.951585', '30', '2', '35', '39', '20',127.0.0.1
'2019-05-23 00:56:18.952015', '44', '2', '31', '25', '20',127.0.0.1
'2019-05-23 00:56:19.952445', '42', '45', '26', '33', '20',127.0.0.1
'2019-05-23 00:56:20.952875', '29', '29', '22', '9', '20',127.0.0.1
'2019-05-23 00:56:21.954303', '18', '42', '3', '32', '20',127.0.0.1
'2019-05-23 00:56:22.954723', '22', '33', '18', '48', '20',127.0.0.1
'2019-05-23 00:57:03.668544', '24', '46', '44', '23', '20',127.0.0.1
'2019-05-23 00:57:04.668970', '9', '28', '39', '24', '20',127.0.0.1
'2019-05-23 00:57:05.670389', '18', '8', '30', '2', '20',127.0.0.1
'2019-05-23 00:57:06.670830', '8', '16', '48', '2', '20',127.0.0.1
'2019-05-23 00:57:07.671259', '2', '48', '42', '13', '20',127.0.0.1
'2019-05-23 00:57:08.671690', '49', '4', '19', '18', '20',127.0.0.1
'2019-05-23 00:57:09.672122', '30', '1', '47', '8', '20',127.0.0.1
'2019-05-23 00:57:10.672552', '17', '39', '27', '44', '20',127.0.0.1
'2019-05-23 00:57:11.672980', '6', '8', '1', '34', '20',127.0.0.1
'2019-05-23 00:57:12.674410', '38', '42', '33', '1', '20',127.0.0.1
'2019-05-23 00:57:13.674840', '48', '13', '36', '25', '20',127.0.0.1
'2019-05-23 00:57:14.675270', '35', '14', '44', '3', '20',127.0.0.1
'2019-05-23 00:57:15.675686', '15', '24', '4', '3', '20',127.0.0.1
'2019-05-23 00:57:33.866336', '46', '34', '32', '36', '20',127.0.0.1
'2019-05-23 00:57:34.867766', '38', '37', '30', '2', '20',127.0.0.1
'2019-05-23 00:57:35.869186', '27', '4', '21', '46', '20',127.0.0.1
'2019-05-23 00:57:36.869617', '33', '30', '18', '3', '20',127.0.0.1
'2019-05-23 00:57:37.870059', '4', '43', '18', '15', '20',127.0.0.1
'2019-05-23 00:57:38.871488', '3', '14', '37', '2', '20',127.0.0.1
'2019-05-23 00:57:39.871915', '20', '30', '1', '16', '20',127.0.0.1
'2019-05-23 00:57:40.873345', '41', '26', '29', '33', '20',127.0.0.1
'2019-05-23 00:57:41.873775', '26', '48', '34', '22', '20',127.0.0.1
'2019-05-23 00:57:42.874205', '14', '29', '18', '42', '20',127.0.0.1
'2019-05-23 00:57:43.874635', '32', '25', '26', '46', '20',127.0.0.1
